***,7/17,7/24,7/31,8/7
10316,30,4,16,32
3614,5,3,0,12
791192,28,32,50,32
730300,18,20,34,27
42154,9,0,0,4
36500,97,94,76,94
791193,69,80,57,61
724300,55,77,20,61
22150,3,4,8,5
772392,1,0,0,0
10336C,9,1,0,7
724500,49,57,60,37
771851,24,24,16,10
71850,4,5,4,1
724150,20,18,23,11
88369,6,0,0,0
779113,5,16,27,29
779153,6,6,3,27
30150,15,18,20,20
777143,3,17,5,0
24153,9,21,7,6
773409,7,2,0,2
791194,10,0,0,0
27-1TVA-IET3,13,18,40,21
17500,5,5,3,0
936599,1,4,2,0
36153,4,8,6,4
77113,3,0,5,0
724304,12,11,14,11
50028,1,0,1,0
36150,14,30,17,12
772373,2,0,0,0
20006,1,0,0,0
777851,1,0,4,9
777850,1,1,2,0
24124,26,10,2,10
23233,1,0,0,0
25853,1,0,0,0
772589,4,0,0,8
799388,12,17,4,6
102630PLT,1,0,0,0
30153,1,0,1,0
10311C,10,23,16,0
724599,1,0,0,0
42304,1,4,18,0
MH-2SJR-ID3C,1,3,10,0
11500,1,1,0,1
30650,3,2,5,0
2209,1,2,1,1
936150,1,0,0,0
777802,2,5,6,4
722500,4,4,1,8
112000PLT,3,0,0,0
936300,1,0,0,0
16200,3,4,3,1
104604PLT,1,0,0,0
24154,2,0,0,0
24304,2,0,10,0
2262,1,0,0,0
499703,1,0,0,0
779112,1,1,1,1
777852,1,0,2,0
773201,2,0,0,0
12500,1,0,0,2
95029,1,0,2,0
2866,2,1,1,0
15001,2,2,4,1
773410,1,0,0,0
13020,1,1,0,0
7821,0,2,3,2
724510,0,4,0,0
9303,0,11,0,2
10317C,0,14,8,0
24650,0,4,0,2
10334C,0,79,107,46
36530,0,1,2,1
4543C,0,2,4,1
730599,0,1,1,1
22013,0,3,2,1
102467PLT,0,4,4,0
50029,0,1,0,2
7822,0,2,3,4
30030,0,2,1,8
734500,0,3,7,6
773382,0,4,0,0
2204,0,1,0,0
36555,0,1,0,0
F6-0O1K-QPPA,0,5,3,2
736303,0,2,1,8
41300A,0,1,2,1
924150,0,1,1,3
41305A,0,2,5,6
777800,0,1,1,0
41301A,0,0,2,0
40039-P1,0,0,1,0
20030,0,0,1,0
15500,0,0,2,0
30070,0,0,8,0
736688,0,0,1,0
30760,0,0,1,2
773712,0,0,1,0
730070,0,0,4,0
36151,0,0,1,2
41307A,0,0,1,1
42300,0,0,7,2
18599,0,0,1,0
22123,0,0,4,0
103309C,0,0,10,0
777801,0,0,1,0
736300,0,0,0,1
110581,0,0,0,5
730500,0,0,0,23
2852,0,0,0,2
17650,0,0,0,1
41302A,0,0,0,1
2596,0,0,0,5
113020,0,0,0,1
25893,0,0,0,4
2375,0,0,0,1
