***,5-Jun,12-Jun,19-Jun,26-Jun,3-Jul,10-Jul,17-Jul,24-Jul,31-Jul,7-Aug,Average,4 Week Avg
36500,131,65,86,94,65,75,97,94,76,94,88,90
724150,271,184,125,26,12,125,20,18,23,11,82,18
18150,5,1,3,12,4,0,0,0,0,0,2,0
12553,33,23,23,29,0,0,0,0,0,0,11,0
730500,67,45,49,27,37,13,0,0,0,23,26,6
724500,58,81,79,48,32,42,50,57,60,37,54,51
724300,85,80,120,73,70,69,56,77,20,61,71,54
103309C,49,1,0,6,39,29,0,0,10,0,13,2
24124,14,16,18,0,0,5,29,10,2,10,10,13
36153,9,4,14,6,9,2,4,8,6,4,7,6
791194,6,3,0,0,0,26,10,0,0,0,4,2
24153,7,10,8,12,10,10,9,21,7,6,10,11
4543C,7,4,1,3,2,1,0,2,4,1,2,2
36150,110,94,33,5,52,113,14,30,17,12,48,18
724304,17,13,8,14,14,10,12,11,14,11,12,12
27-1TVA-IET3,30,5,11,25,25,19,13,18,40,21,21,23
10336C,87,92,68,42,50,116,9,1,0,7,47,4
22150,4,6,10,2,1,1,3,4,8,5,4,5
722500,2,3,5,1,1,1,4,4,1,8,3,4
20070,7,3,0,4,0,0,0,0,0,0,1,0
791192,43,53,52,111,68,52,28,32,50,32,52,36
30150,24,14,24,20,14,13,15,18,20,20,18,18
36530,3,0,0,0,0,0,0,1,2,1,1,1
777143,2,8,2,5,7,2,3,17,5,0,5,6
15001,3,5,5,4,6,5,2,2,4,1,4,2
17500,5,0,1,1,0,2,5,5,3,0,2,3
2375,9,0,2,0,2,0,0,0,0,1,1,0
771851,14,27,35,25,23,16,24,24,16,10,21,18
924150,2,1,2,0,1,1,0,1,1,3,1,1
88369,12,8,1,8,7,7,6,0,0,0,5,2
9303,15,0,4,20,3,1,0,11,0,2,6,3
23233,2,0,1,0,6,1,1,0,0,0,1,0
MH-2SJR-ID3C,4,4,1,1,6,3,1,3,10,0,3,4
779112,8,3,1,0,2,8,1,1,1,1,3,1
930300,1,0,0,0,0,0,0,0,0,0,0,0
311030,1,0,0,0,0,0,0,0,0,0,0,0
724510,3,0,0,0,0,1,0,4,0,0,1,1
777851,3,4,1,0,6,2,1,0,4,9,3,4
71850,5,2,3,9,2,3,4,5,4,1,4,4
42300,1,0,0,1,0,6,0,0,7,2,2,2
7822,2,0,0,0,0,0,0,2,3,4,1,2
779113,16,37,20,12,25,49,5,16,27,29,24,19
3614,3,16,18,12,1,6,5,3,0,12,8,5
773409,5,4,21,10,0,7,7,2,0,2,6,3
730211,7,0,1,0,0,3,0,0,0,0,1,0
10317C,11,8,14,9,3,35,0,14,8,0,10,6
113020,1,0,0,1,0,0,0,0,0,1,0,0
F6-0O1K-QPPA,3,1,0,16,1,11,0,5,3,2,4,2
10316,6,21,17,4,0,11,30,4,16,32,14,20
10311C,7,25,8,4,0,6,11,23,16,0,10,12
42154,1,3,5,11,8,3,9,0,0,4,4,3
24304,2,1,4,0,1,1,2,0,10,0,2,3
736688,1,0,0,0,0,0,0,0,1,0,0,0
799388,1,4,26,3,10,1,12,17,4,6,8,10
77113,3,0,0,4,0,0,3,0,5,0,2,2
15500,2,0,0,0,0,1,0,0,2,0,0,0
924300,1,0,1,0,0,0,0,0,0,0,0,0
2588,2,0,0,0,0,0,0,0,0,0,0,0
40375,1,0,0,1,1,2,0,0,0,0,0,0
55001,1,0,0,0,0,0,0,0,0,0,0,0
730300,1,26,21,29,27,27,18,20,34,27,23,25
2209,0,11,0,1,6,0,1,2,1,1,2,1
41154A,0,9,2,0,0,0,0,0,0,0,1,0
36125,0,2,0,0,0,0,0,0,0,0,0,0
772589,0,3,0,3,0,0,4,0,0,8,2,3
30771,0,3,0,1,1,0,0,0,0,0,0,0
11500,0,1,0,1,0,4,1,1,0,1,1,1
773381,0,2,0,0,0,0,0,0,0,0,0,0
736300,0,1,0,0,0,0,0,0,0,1,0,0
36151,0,3,0,8,1,0,0,0,1,2,2,1
936599,0,3,1,1,1,0,1,4,2,0,1,2
18650,0,1,0,2,1,0,0,0,0,0,0,0
777852,0,2,1,1,0,0,1,0,2,0,1,1
36555,0,1,0,0,0,2,0,1,0,0,0,0
22083,0,2,0,0,0,6,0,0,0,0,1,0
730599,0,1,1,3,1,1,0,1,1,1,1,1
13020,0,1,0,0,1,2,0,1,0,0,0,0
991851,0,1,0,0,0,0,0,0,0,0,0,0
3409,0,1,0,0,0,0,0,0,0,0,0,0
12500,0,2,1,0,1,0,1,0,0,2,1,1
777802,0,1,3,2,4,4,2,5,6,4,3,4
50029,0,1,1,2,2,0,0,1,0,2,1,1
24154,0,1,5,2,0,0,2,0,0,0,1,0
42304,0,1,12,0,1,1,1,4,18,0,4,6
207010,0,1,1,23,0,5,0,0,0,0,3,0
779153,0,1,0,8,7,2,6,6,3,27,6,10
936500,0,0,1,0,1,0,0,0,0,0,0,0
777850,0,0,2,1,0,4,1,1,2,0,1,1
777801,0,0,1,0,0,1,0,0,1,0,0,0
36154,0,0,1,0,0,0,0,0,0,0,0,0
734500,0,0,1,3,0,0,0,3,7,6,2,4
2376,0,0,3,1,2,0,0,0,0,0,1,0
30151,0,0,1,0,0,0,0,0,0,0,0,0
30760,0,0,10,0,0,0,0,0,1,2,1,1
2866,0,0,1,0,0,0,2,1,1,0,0,1
772392,0,0,1,0,0,0,1,0,0,0,0,0
2238,0,0,2,0,0,0,0,0,0,0,0,0
95029,0,0,1,0,0,1,1,0,2,0,0,1
41300A,0,0,2,0,2,1,0,1,2,1,1,1
936300,0,0,1,0,0,1,1,0,0,0,0,0
30650,0,0,0,7,0,2,3,2,5,0,2,2
724599,0,0,0,1,2,0,1,0,0,0,0,0
207000,0,0,0,30,6,1,0,0,0,0,4,0
2341,0,0,0,1,0,0,0,0,0,0,0,0
30153,0,0,0,3,0,2,1,0,1,0,1,0
73500,0,0,0,2,0,0,0,0,0,0,0,0
936150,0,0,0,1,0,0,1,0,0,0,0,0
30030,0,0,0,1,0,0,0,2,1,8,1,3
2262,0,0,0,3,0,0,1,0,0,0,0,0
50028,0,0,0,1,1,0,1,0,1,0,0,0
102630PLT,0,0,0,0,1,0,1,0,0,0,0,0
20006,0,0,0,0,2,0,1,0,0,0,0,0
95024,0,0,0,0,1,0,0,0,0,0,0,0
25853,0,0,0,0,2,2,1,0,0,0,0,0
10334C,0,0,0,0,0,73,0,79,107,46,30,58
22013,0,0,0,0,0,1,0,3,2,1,1,2
2212,0,0,0,0,0,1,0,0,0,0,0,0
791193,0,0,0,0,0,77,72,80,57,61,35,68
10328,0,0,0,0,0,1,0,0,0,0,0,0
41305A,0,0,0,0,0,5,0,2,5,6,2,3
361601,0,0,0,0,0,1,0,0,0,0,0,0
999303,0,0,0,0,0,1,0,0,0,0,0,0
102467PLT,0,0,0,0,0,2,0,4,4,0,1,2
772373,0,0,0,0,0,0,2,0,0,0,0,0
112000PLT,0,0,0,0,0,0,3,0,0,0,0,1
16200,0,0,0,0,0,0,3,4,3,1,1,3
104604PLT,0,0,0,0,0,0,1,0,0,0,0,0
499703,0,0,0,0,0,0,1,0,0,0,0,0
773201,0,0,0,0,0,0,2,0,0,0,0,0
773410,0,0,0,0,0,0,1,0,0,0,0,0
7821,0,0,0,0,0,0,0,2,3,2,1,2
24650,0,0,0,0,0,0,0,4,0,2,1,2
773382,0,0,0,0,0,0,0,4,0,0,0,1
2204,0,0,0,0,0,0,0,1,0,0,0,0
736303,0,0,0,0,0,0,0,2,1,8,1,3
777800,0,0,0,0,0,0,0,1,1,0,0,0
41301A,0,0,0,0,0,0,0,0,2,0,0,0
40039-P1,0,0,0,0,0,0,0,0,1,0,0,0
20030,0,0,0,0,0,0,0,0,1,0,0,0
30070,0,0,0,0,0,0,0,0,8,0,1,2
773712,0,0,0,0,0,0,0,0,1,0,0,0
730070,0,0,0,0,0,0,0,0,4,0,0,1
41307A,0,0,0,0,0,0,0,0,1,1,0,0
18599,0,0,0,0,0,0,0,0,1,0,0,0
22123,0,0,0,0,0,0,0,0,4,0,0,1
110581,0,0,0,0,0,0,0,0,0,5,0,1
2852,0,0,0,0,0,0,0,0,0,2,0,0
17650,0,0,0,0,0,0,0,0,0,1,0,0
41302A,0,0,0,0,0,0,0,0,0,1,0,0
2596,0,0,0,0,0,0,0,0,0,5,0,1
25893,0,0,0,0,0,0,0,0,0,4,0,1
